Country,Daylight,Rank,Score,GDP/capita,Health,Freedom,Corruption,Generosity,Year,Social support,Region code,Region,Country code,Gender,Suicide rate,Low suicide rate,High suicide rate,Value,Mean suicide rate,Median suicide rate,Std suicide rate
Argentina,2220.3,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015,,AMR,Americas,ARG,Male,13.51,11.42,22.37,13.51 [11.42 – 22.37],10.26013351134849,7.48,11.194969511733015
Argentina,2220.3,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015,,AMR,Americas,ARG,Both sexes,8.1,6.83,12.85,8.1 [6.83 – 12.85],10.26013351134849,7.48,11.194969511733015
Argentina,2220.3,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015,,AMR,Americas,ARG,Female,3.23,2.68,3.85,3.23 [2.68 – 3.85],10.26013351134849,7.48,11.194969511733015
Czech Republic,1668.0,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015,,EUR,Europe,CZE,Male,17.48,15.36,19.71,17.48 [15.36 – 19.71],10.26013351134849,7.48,11.194969511733015
Czech Republic,1668.0,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015,,EUR,Europe,CZE,Both sexes,10.49,9.11,11.97,10.49 [9.11 – 11.97],10.26013351134849,7.48,11.194969511733015
Czech Republic,1668.0,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015,,EUR,Europe,CZE,Female,3.89,3.19,4.68,3.89 [3.19 – 4.68],10.26013351134849,7.48,11.194969511733015
Uruguay,2481.4,32,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,2015,,AMR,Americas,URY,Both sexes,16.66,14.03,19.51,16.66 [14.03 – 19.51],10.26013351134849,7.48,11.194969511733015
Uruguay,2481.4,32,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,2015,,AMR,Americas,URY,Male,27.71,23.63,32.13,27.71 [23.63 – 32.13],10.26013351134849,7.48,11.194969511733015
Uruguay,2481.4,32,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,2015,,AMR,Americas,URY,Female,6.72,5.35,8.19,6.72 [5.35 – 8.19],10.26013351134849,7.48,11.194969511733015
Colombia,1930.78,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015,,AMR,Americas,COL,Female,1.82,1.46,2.22,1.82 [1.46 – 2.22],10.26013351134849,7.48,11.194969511733015
Colombia,1930.78,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015,,AMR,Americas,COL,Male,6.5,5.38,12.52,6.5 [5.38 – 12.52],10.26013351134849,7.48,11.194969511733015
Colombia,1930.78,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015,,AMR,Americas,COL,Both sexes,4.04,3.32,7.28,4.04 [3.32 – 7.28],10.26013351134849,7.48,11.194969511733015
Thailand,2175.02,34,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,2015,,SEAR,South-East Asia,THA,Female,2.48,1.75,3.3,2.48 [1.75 – 3.3],10.26013351134849,7.48,11.194969511733015
Thailand,2175.02,34,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,2015,,SEAR,South-East Asia,THA,Male,12.11,8.62,15.99,12.11 [8.62 – 15.99],10.26013351134849,7.48,11.194969511733015
Thailand,2175.02,34,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,2015,,SEAR,South-East Asia,THA,Both sexes,7.15,5.09,9.45,7.15 [5.09 – 9.45],10.26013351134849,7.48,11.194969511733015
Saudi Arabia,3236.5,35,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,2015,,EMR,Eastern Mediterranean,SAU,Female,2.28,1.4,3.54,2.28 [1.4 – 3.54],10.26013351134849,7.48,11.194969511733015
Saudi Arabia,3236.5,35,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,2015,,EMR,Eastern Mediterranean,SAU,Male,8.49,5.25,12.76,8.49 [5.25 – 12.76],10.26013351134849,7.48,11.194969511733015
Saudi Arabia,3236.5,35,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,2015,,EMR,Eastern Mediterranean,SAU,Both sexes,5.95,3.68,8.99,5.95 [3.68 – 8.99],10.26013351134849,7.48,11.194969511733015
Spain,2800.2,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015,,EUR,Europe,ESP,Female,2.94,2.47,3.44,2.94 [2.47 – 3.44],10.26013351134849,7.48,11.194969511733015
Spain,2800.2,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015,,EUR,Europe,ESP,Male,8.52,7.39,9.76,8.52 [7.39 – 9.76],10.26013351134849,7.48,11.194969511733015
Spain,2800.2,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015,,EUR,Europe,ESP,Both sexes,5.64,4.85,6.49,5.64 [4.85 – 6.49],10.26013351134849,7.48,11.194969511733015
Malta,3054.0,37,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,2015,,EUR,Europe,MLT,Female,2.78,2.04,3.72,2.78 [2.04 – 3.72],10.26013351134849,7.48,11.194969511733015
Malta,3054.0,37,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,2015,,EUR,Europe,MLT,Male,10.28,7.85,13.09,10.28 [7.85 – 13.09],10.26013351134849,7.48,11.194969511733015
Malta,3054.0,37,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,2015,,EUR,Europe,MLT,Both sexes,6.55,4.96,8.42,6.55 [4.96 – 8.42],10.26013351134849,7.48,11.194969511733015
Kuwait,,39,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,2015,,EMR,Eastern Mediterranean,KWT,Both sexes,2.4,1.84,3.06,2.4 [1.84 – 3.06],10.26013351134849,7.48,11.194969511733015
Kuwait,,39,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,2015,,EMR,Eastern Mediterranean,KWT,Female,0.72,0.52,0.98,0.72 [0.52 – 0.98],10.26013351134849,7.48,11.194969511733015
Kuwait,,39,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,2015,,EMR,Eastern Mediterranean,KWT,Male,3.5,2.7,4.43,3.5 [2.7 – 4.43],10.26013351134849,7.48,11.194969511733015
Suriname,,40,6.269,0.99534,0.6082,0.59657,0.13633,0.16991,2015,,AMR,Americas,SUR,Both sexes,25.91,18.69,34.67,25.91 [18.69 – 34.67],10.26013351134849,7.48,11.194969511733015
Suriname,,40,6.269,0.99534,0.6082,0.59657,0.13633,0.16991,2015,,AMR,Americas,SUR,Female,11.81,8.12,16.44,11.81 [8.12 – 16.44],10.26013351134849,7.48,11.194969511733015
Suriname,,40,6.269,0.99534,0.6082,0.59657,0.13633,0.16991,2015,,AMR,Americas,SUR,Male,41.09,30.0,54.48,41.09 [30 – 54.48],10.26013351134849,7.48,11.194969511733015
